,filename,token_dupl,lemmas,lemma_dupl,avg_forms_per_lemma,avg_sent_len,unique_ft_clusts,perc_dupl_ft_clusts
135,../TheLatinLibraryScraper/data/texts/certamen_chan96.2.txt,0.0679,15928,0.06705173279758915,1.0225,7.1683,105,0.0066
136,../TheLatinLibraryScraper/data/texts/christian.txt,0.7778,135,0.7777777777777778,1.0,7.1053,31,0.2296
137,../TheLatinLibraryScraper/data/texts/cinna.txt,0.8958,144,0.875,1.0238,4.9655,58,0.4028
138,../TheLatinLibraryScraper/data/texts/classics.txt,0.258,1442,0.25173370319001387,1.0248,5.3407,77,0.0534
139,../TheLatinLibraryScraper/data/texts/claud.inscr.txt,0.5801,924,0.49134199134199136,1.1872,19.6596,186,0.2013
140,../TheLatinLibraryScraper/data/texts/claudian_claudian.cons6.txt,0.6559,4897,0.548907494384317,1.2013,17.7428,353,0.0721
141,../TheLatinLibraryScraper/data/texts/claudian_claudian.olyb.txt,0.7415,2031,0.6587887740029542,1.1278,16.5122,231,0.1137
142,../TheLatinLibraryScraper/data/texts/claudian_claudian.proserp1.txt,0.5935,2684,0.5301788375558867,1.1209,14.4301,215,0.0801
143,../TheLatinLibraryScraper/data/texts/claudian_claudian.proserp2.txt,0.7233,2974,0.6284465366509752,1.152,15.9037,249,0.0837
144,../TheLatinLibraryScraper/data/texts/claudian_claudian.proserp3.txt,0.6677,3316,0.5702653799758746,1.175,12.8031,284,0.0856
145,../TheLatinLibraryScraper/data/texts/claudian_claudian.ruf1.txt,0.3646,5239,0.31551822866959345,1.1567,14.3534,258,0.0492
146,../TheLatinLibraryScraper/data/texts/clitophon.txt,0.4775,1797,0.3444629938786867,1.3926,16.4862,245,0.1363
147,../TheLatinLibraryScraper/data/texts/colman.txt,0.3899,554,0.3555956678700361,1.1015,14.2051,91,0.1643
148,../TheLatinLibraryScraper/data/texts/columba.txt,0.7778,18,0.7777777777777778,1.0,6.0,8,0.4444
149,../TheLatinLibraryScraper/data/texts/columba1.txt,0.3315,11799,0.23773201118738876,1.4061,19.0,432,0.0366
150,../TheLatinLibraryScraper/data/texts/columba2.txt,0.3988,6404,0.30309181761399123,1.322,19.8266,351,0.0548
151,../TheLatinLibraryScraper/data/texts/columella.txt,0.6786,56,0.6785714285714286,1.0,8.0,12,0.2143
152,../TheLatinLibraryScraper/data/texts/comes.txt,0.4685,143,0.45454545454545453,1.0615,17.875,34,0.2378
153,../TheLatinLibraryScraper/data/texts/commodianus.txt,0.92,25,0.92,1.0,6.25,15,0.6
154,../TheLatinLibraryScraper/data/texts/commodianus_commodianus1.txt,0.3857,8860,0.2665914221218962,1.4513,11.6579,405,0.0457
155,../TheLatinLibraryScraper/data/texts/commodianus_commodianus2.txt,0.405,9545,0.28727082242011526,1.4198,11.1377,428,0.0448
156,../TheLatinLibraryScraper/data/texts/commodianus_commodianus3.txt,0.2718,504,0.25793650793650796,1.0615,13.6216,58,0.1151
157,../TheLatinLibraryScraper/data/texts/corvinus.txt,0.9444,18,0.9444444444444444,1.0,6.0,11,0.6111
158,../TheLatinLibraryScraper/data/texts/corvinus2.txt,0.7635,795,0.6943396226415094,1.0996,20.9211,147,0.1849
159,../TheLatinLibraryScraper/data/texts/cotta.txt,0.1534,9000,0.12677777777777777,1.2156,13.7405,277,0.0308
160,../TheLatinLibraryScraper/data/texts/creeds.txt,0.2987,1118,0.24329159212880144,1.2279,12.0215,122,0.1091
161,../TheLatinLibraryScraper/data/texts/dante.txt,0.7576,33,0.7575757575757576,1.0,4.7143,13,0.3939
162,../TheLatinLibraryScraper/data/texts/dares.txt,0.2861,9709,0.20589144093109485,1.4002,11.6136,333,0.0343
163,../TheLatinLibraryScraper/data/texts/dares1.txt,0.3055,9310,0.22169709989258862,1.3876,13.4732,334,0.0359
164,../TheLatinLibraryScraper/data/texts/debury.txt,0.2704,27925,0.18692927484333036,1.4525,21.5804,533,0.0191
165,../TheLatinLibraryScraper/data/texts/declaratio.txt,0.4527,1628,0.32432432432432434,1.4053,15.6538,211,0.1296
166,../TheLatinLibraryScraper/data/texts/decretum.txt,0.4706,2180,0.3811926605504587,1.2383,9.8643,239,0.1096
167,../TheLatinLibraryScraper/data/texts/des.txt,0.8,30,0.8,1.0,7.5,11,0.3667
168,../TheLatinLibraryScraper/data/texts/diesirae.txt,0.6833,281,0.6334519572953736,1.0787,8.2647,77,0.274
169,../TheLatinLibraryScraper/data/texts/diravi.txt,0.1365,791,0.1276864728192162,1.0693,14.6481,45,0.0569
170,../TheLatinLibraryScraper/data/texts/don.txt,0.2292,5184,0.12364969135802469,1.8877,12.0,428,0.0826
171,../TheLatinLibraryScraper/data/texts/donation.txt,0.4403,3164,0.31257901390644754,1.4125,29.5701,314,0.0992
172,../TheLatinLibraryScraper/data/texts/dulcesolum.txt,0.2414,290,0.23793103448275862,1.0145,19.3333,36,0.1241
173,../TheLatinLibraryScraper/data/texts/dumdiane.txt,0.2456,631,0.23454833597464342,1.0541,19.1212,68,0.1078
174,../TheLatinLibraryScraper/data/texts/ebulo.txt,0.3653,13853,0.27921749801487045,1.3226,13.9226,426,0.0308
175,../TheLatinLibraryScraper/data/texts/egeria.txt,0.8696,23,0.8695652173913043,1.0,4.6,8,0.3478
176,../TheLatinLibraryScraper/data/texts/egeria1.txt,0.2073,11329,0.13602259687527585,1.5425,18.3317,398,0.0351
177,../TheLatinLibraryScraper/data/texts/egeria2.txt,0.1757,9862,0.11275603325897383,1.5737,17.4549,339,0.0344
178,../TheLatinLibraryScraper/data/texts/ein.txt,0.414,9296,0.2985154905335628,1.3942,25.6088,430,0.0463
179,../TheLatinLibraryScraper/data/texts/enn.txt,0.6697,1438,0.5876216968011126,1.142,10.1268,200,0.1391
